customer_id,region,acquisition_channel,membership_tier,preferred_category,tenure_months,orders,spend,avg_basket,discount_share,return_rate,support_tickets,days_since_order,email_engagement,satisfaction_score,lifetime_value,churned,latent_segment,recommended_action
C-00394,Western Australia,search,silver,footwear,21,4,258.22,64.56,0.376,0.133,4,124,0.215,6.2,343.43,1,Lapsing-customers,Win-back offer with service recovery
C-00395,New South Wales,search,silver,recovery,29,6,459.35,76.56,0.263,0.132,3,139,0.199,5.3,647.68,1,Lapsing-customers,Win-back offer with service recovery
C-00396,Tasmania,referral,none,footwear,15,15,1223.43,81.56,0.271,0.027,0,27,0.734,6.8,1553.76,0,Frequent-regulars,Free shipping threshold reminder
C-00397,South Australia,organic,none,footwear,8,1,45.15,45.15,0.294,0.108,1,23,0.756,6.3,54.18,0,Emerging-shoppers,Second-purchase education sequence
C-00398,Western Australia,search,silver,hydration,35,6,505.35,84.23,0.344,0.127,6,109,0.067,7.5,742.86,1,Lapsing-customers,Win-back offer with service recovery
C-00399,New South Wales,referral,silver,packs,16,5,418.67,83.73,0.396,0.181,3,130,0.134,5.1,535.9,1,Lapsing-customers,Win-back offer with service recovery
C-00400,Western Australia,retail-store,silver,packs,3,3,181.3,60.43,0.233,0.06,2,12,0.697,7.6,208.5,0,Emerging-shoppers,Second-purchase education sequence
C-00401,South Australia,search,none,footwear,32,10,861.25,86.12,0.285,0.044,0,38,0.673,7.4,1240.2,0,Frequent-regulars,Free shipping threshold reminder
C-00402,South Australia,referral,silver,footwear,2,6,467.75,77.96,0.262,0.081,2,13,0.484,8.4,533.24,1,Emerging-shoppers,Second-purchase education sequence
C-00403,Victoria,referral,silver,accessories,27,21,3485.01,165.95,0.066,0,1,11,0.891,10,4844.16,0,VIP-loyalists,Early access and premium bundle
C-00404,Queensland,paid-social,none,camp,28,12,926.13,77.18,0.235,0.032,1,28,0.483,7.8,1296.58,0,Frequent-regulars,Free shipping threshold reminder
C-00405,Western Australia,search,bronze,camp,29,17,1412.4,83.08,0.144,0.028,1,31,0.799,6.4,1991.48,0,Frequent-regulars,Free shipping threshold reminder
C-00406,New South Wales,retail-store,none,hydration,2,4,255.41,63.85,0.336,0.019,0,19,0.705,6.8,291.17,1,Emerging-shoppers,Second-purchase education sequence
C-00407,Western Australia,search,silver,footwear,17,25,3385.02,135.4,0.043,0.028,2,18,0.646,8.9,4366.68,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00408,Queensland,paid-social,none,packs,17,14,1131.78,80.84,0.108,0.109,0,28,0.518,8.6,1460,0,Frequent-regulars,Free shipping threshold reminder
C-00409,Western Australia,referral,bronze,packs,25,12,1077.55,89.8,0.159,0.089,4,27,0.805,8.3,1476.24,0,Frequent-regulars,Free shipping threshold reminder
C-00410,South Australia,organic,silver,recovery,21,17,2242.88,131.93,0.07,0.06,1,13,0.708,8.2,2983.03,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00411,Victoria,paid-social,none,footwear,29,14,1321.46,94.39,0.186,0.121,2,37,0.545,8.1,1863.26,1,Frequent-regulars,Free shipping threshold reminder
C-00412,New South Wales,search,none,camp,2,5,334.65,66.93,0.256,0.121,1,22,0.616,7.6,381.5,0,Emerging-shoppers,Second-purchase education sequence
C-00413,Western Australia,referral,none,accessories,27,5,426.34,85.27,0.31,0.154,1,190,0.381,6.1,592.61,1,Lapsing-customers,Win-back offer with service recovery
C-00414,South Australia,retail-store,gold,apparel,32,32,5023.25,156.98,0.045,0.048,0,1,0.924,9.8,7233.48,0,VIP-loyalists,Early access and premium bundle
C-00415,Victoria,referral,silver,recovery,34,18,2513.79,139.66,0.063,0.029,0,22,0.631,8.6,3670.13,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00416,New South Wales,search,silver,apparel,29,7,486.91,69.56,0.303,0.177,2,151,0.212,4.5,686.54,0,Lapsing-customers,Win-back offer with service recovery
C-00417,New South Wales,search,none,footwear,18,5,374.2,74.84,0.228,0.104,2,21,0.662,8.4,486.46,0,Emerging-shoppers,Second-purchase education sequence
C-00418,Queensland,referral,silver,apparel,39,9,1202.06,133.56,0.15,0.027,2,21,0.772,8.4,1815.11,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00419,New South Wales,paid-social,silver,recovery,23,20,2553.24,127.66,0.154,0.034,0,24,0.545,8.4,3446.87,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00420,New South Wales,organic,none,recovery,23,11,1006.56,91.51,0.245,0.037,1,37,0.607,7.5,1358.86,0,Frequent-regulars,Free shipping threshold reminder
C-00421,Western Australia,search,none,packs,20,6,425.7,70.95,0.372,0.141,4,120,0.204,5.9,561.92,1,Lapsing-customers,Win-back offer with service recovery
C-00422,New South Wales,paid-social,none,apparel,17,9,731.56,81.28,0.124,0.094,2,29,0.431,6.7,943.71,0,Frequent-regulars,Free shipping threshold reminder
C-00423,Western Australia,referral,bronze,recovery,2,4,249.38,62.34,0.28,0.036,1,26,0.694,8.7,284.29,1,Emerging-shoppers,Second-purchase education sequence
C-00424,Victoria,retail-store,gold,apparel,38,36,5997.02,166.58,0.154,0.026,0,10,0.836,9.8,8995.53,0,VIP-loyalists,Early access and premium bundle
C-00425,Victoria,paid-social,none,accessories,24,13,1187.34,91.33,0.211,0.086,1,40,0.535,8.4,1614.78,1,Frequent-regulars,Free shipping threshold reminder
C-00426,New South Wales,organic,silver,jackets,12,5,393.1,78.62,0.244,0.048,0,16,0.666,7.9,487.44,0,Emerging-shoppers,Second-purchase education sequence
C-00427,Queensland,organic,bronze,camp,20,8,662.98,82.87,0.237,0.203,2,133,0.17,6.2,875.13,1,Lapsing-customers,Win-back offer with service recovery
C-00428,Queensland,search,silver,packs,35,22,3850.69,175.03,0.115,0,0,15,0.769,9.1,5660.51,0,VIP-loyalists,Early access and premium bundle
C-00429,South Australia,referral,none,jackets,18,6,500.54,83.42,0.348,0.142,1,127,0.196,4.7,650.7,0,Lapsing-customers,Win-back offer with service recovery
C-00430,Queensland,paid-social,none,apparel,25,7,586.35,83.76,0.323,0.161,3,116,0.26,5.9,803.3,1,Lapsing-customers,Win-back offer with service recovery
C-00431,New South Wales,organic,silver,hydration,23,11,1016.01,92.36,0.096,0.055,0,26,0.727,7.4,1371.61,0,Frequent-regulars,Free shipping threshold reminder
C-00432,New South Wales,referral,silver,jackets,31,26,4241.26,163.13,0.083,0.019,0,10,0.932,8.8,6065,0,VIP-loyalists,Early access and premium bundle
C-00433,South Australia,organic,gold,accessories,34,23,3606.26,156.79,0.07,0.031,0,6,0.896,9.6,5265.14,0,VIP-loyalists,Early access and premium bundle
C-00434,Queensland,search,none,accessories,21,14,1121.08,80.08,0.176,0.074,2,39,0.496,8.5,1491.04,1,Frequent-regulars,Free shipping threshold reminder
C-00435,Western Australia,referral,none,jackets,18,8,526.71,65.84,0.257,0.147,3,109,0.152,6.5,684.72,0,Lapsing-customers,Win-back offer with service recovery
C-00436,Western Australia,referral,none,packs,2,2,135.81,67.91,0.154,0.062,1,23,0.475,8,154.82,0,Emerging-shoppers,Second-purchase education sequence
C-00437,Tasmania,referral,silver,jackets,8,4,267.86,66.97,0.379,0.15,3,91,0.134,6.1,321.43,1,Lapsing-customers,Win-back offer with service recovery
C-00438,Tasmania,retail-store,bronze,apparel,5,3,235.27,78.42,0.26,0.075,1,22,0.559,7.1,275.27,1,Emerging-shoppers,Second-purchase education sequence
C-00439,Victoria,organic,silver,packs,4,4,313.84,78.46,0.325,0.07,0,20,0.454,7.9,364.05,0,Emerging-shoppers,Second-purchase education sequence
C-00440,Queensland,paid-social,bronze,accessories,20,4,310.98,77.75,0.252,0.168,4,153,0.176,6.1,410.49,0,Lapsing-customers,Win-back offer with service recovery
C-00441,Queensland,organic,none,packs,8,1,80.85,80.85,0.225,0.072,1,15,0.608,7.9,97.02,0,Emerging-shoppers,Second-purchase education sequence
C-00442,Tasmania,organic,silver,camp,26,15,2067.38,137.83,0.149,0.07,0,15,0.579,8.9,2852.98,1,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00443,Tasmania,organic,bronze,apparel,16,14,1197.83,85.56,0.234,0.103,2,39,0.606,6.5,1533.22,0,Frequent-regulars,Free shipping threshold reminder
C-00444,Queensland,retail-store,silver,jackets,19,11,928.52,84.41,0.09,0.06,2,42,0.605,7.5,1216.36,0,Frequent-regulars,Free shipping threshold reminder
C-00445,Victoria,referral,bronze,apparel,10,14,1085.53,77.54,0.174,0.123,0,29,0.664,8.3,1324.35,0,Frequent-regulars,Free shipping threshold reminder
C-00446,New South Wales,referral,none,jackets,28,11,873.13,79.38,0.187,0.094,1,35,0.458,7.8,1222.38,0,Frequent-regulars,Free shipping threshold reminder
C-00447,Western Australia,retail-store,bronze,packs,2,6,378.99,63.16,0.21,0.137,0,17,0.676,7.3,432.05,0,Emerging-shoppers,Second-purchase education sequence
C-00448,Western Australia,paid-social,gold,apparel,29,12,1510.1,125.84,0.104,0.069,0,18,0.558,7.8,2129.24,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00449,Western Australia,search,bronze,camp,11,7,578.44,82.63,0.161,0.124,2,35,0.682,8.3,711.48,0,Frequent-regulars,Free shipping threshold reminder
C-00450,New South Wales,search,none,hydration,21,5,373.79,74.76,0.358,0.139,0,118,0.283,6,497.14,1,Lapsing-customers,Win-back offer with service recovery
C-00451,Victoria,organic,none,recovery,9,5,341.73,68.35,0.184,0.08,1,26,0.548,7.1,413.49,0,Emerging-shoppers,Second-purchase education sequence
C-00452,Tasmania,organic,silver,packs,2,2,177.47,88.73,0.172,0.017,0,20,0.694,8.3,202.32,0,Emerging-shoppers,Second-purchase education sequence
C-00453,New South Wales,paid-social,gold,accessories,28,21,2575.33,122.63,0.229,0.095,2,20,0.438,8.6,3605.46,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00454,Queensland,search,bronze,apparel,3,3,231.88,77.29,0.239,0.094,0,22,0.702,8,266.66,0,Emerging-shoppers,Second-purchase education sequence
C-00455,Western Australia,organic,none,camp,15,7,543.43,77.63,0.227,0.191,2,117,0.02,6.2,690.16,1,Lapsing-customers,Win-back offer with service recovery
C-00456,Western Australia,referral,none,apparel,34,6,466.32,77.72,0.325,0.163,2,71,0.253,5.7,680.83,1,Lapsing-customers,Win-back offer with service recovery
C-00457,New South Wales,referral,silver,camp,2,1,55.14,55.14,0.249,0.063,0,22,0.552,6.2,62.86,0,Emerging-shoppers,Second-purchase education sequence
C-00458,Western Australia,search,bronze,hydration,18,12,1158.07,96.51,0.065,0.086,0,37,0.76,7.8,1505.49,0,Frequent-regulars,Free shipping threshold reminder
C-00459,South Australia,search,none,jackets,20,5,392.42,78.48,0.325,0.175,3,126,0.099,4.8,517.99,1,Lapsing-customers,Win-back offer with service recovery
C-00460,New South Wales,search,none,accessories,16,19,1630.65,85.82,0.148,0.046,1,35,0.551,7.2,2087.23,1,Frequent-regulars,Free shipping threshold reminder
C-00461,South Australia,paid-social,silver,accessories,2,5,413.76,82.75,0.249,0.07,0,25,0.49,7.2,471.69,0,Emerging-shoppers,Second-purchase education sequence
C-00462,Victoria,organic,none,jackets,24,14,1156.25,82.59,0.185,0.103,1,24,0.543,7,1572.5,0,Frequent-regulars,Free shipping threshold reminder
C-00463,Victoria,referral,none,footwear,18,13,1159.47,89.19,0.103,0.087,1,33,0.516,8.1,1507.31,0,Frequent-regulars,Free shipping threshold reminder
C-00464,Western Australia,paid-social,none,accessories,21,13,1201.95,92.46,0.221,0.114,1,29,0.686,8.9,1598.59,0,Frequent-regulars,Free shipping threshold reminder
C-00465,Queensland,paid-social,gold,footwear,33,21,3475.52,165.5,0.096,0.017,1,9,0.706,10,5039.5,0,VIP-loyalists,Early access and premium bundle
C-00466,Queensland,retail-store,silver,recovery,36,21,2768.1,131.81,0.163,0.089,0,15,0.606,8.8,4096.79,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00467,Tasmania,referral,gold,camp,18,13,1748,134.46,0.199,0.055,3,18,0.786,7.1,2272.4,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00468,South Australia,retail-store,bronze,jackets,26,12,1069.48,89.12,0.211,0.084,0,35,0.471,7.3,1475.88,0,Frequent-regulars,Free shipping threshold reminder
C-00469,New South Wales,referral,none,accessories,29,7,530.38,75.77,0.377,0.198,4,151,0.187,5.4,747.84,1,Lapsing-customers,Win-back offer with service recovery
C-00470,Western Australia,search,silver,packs,29,11,962.33,87.48,0.151,0.084,2,33,0.604,9.1,1356.89,0,Frequent-regulars,Free shipping threshold reminder
C-00471,New South Wales,search,none,accessories,17,8,683.11,85.39,0.098,0.048,0,39,0.572,8.9,881.21,0,Frequent-regulars,Free shipping threshold reminder
C-00472,South Australia,search,none,jackets,17,7,487.73,69.68,0.296,0.162,3,109,0.024,6.1,629.17,1,Lapsing-customers,Win-back offer with service recovery
C-00473,New South Wales,organic,silver,accessories,27,13,1712,131.69,0.148,0.078,1,12,0.781,6.8,2379.68,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00474,Tasmania,retail-store,silver,jackets,18,17,1476.07,86.83,0.267,0.104,1,26,0.477,7.3,1918.89,0,Frequent-regulars,Free shipping threshold reminder
C-00475,Victoria,retail-store,none,jackets,8,7,599.31,85.62,0.227,0.05,2,21,0.575,7.2,719.17,0,Emerging-shoppers,Second-purchase education sequence
C-00476,Tasmania,search,silver,recovery,30,7,556.44,79.49,0.376,0.141,5,85,0.051,6.8,790.14,1,Lapsing-customers,Win-back offer with service recovery
C-00477,South Australia,referral,gold,hydration,27,21,2852.19,135.82,0.086,0.115,0,23,0.729,7.2,3964.54,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00478,Victoria,paid-social,bronze,apparel,16,8,628.03,78.5,0.298,0.234,3,169,0.069,6.7,803.88,0,Lapsing-customers,Win-back offer with service recovery
C-00479,Tasmania,referral,silver,jackets,28,22,2910.14,132.28,0.144,0.085,1,21,0.64,7.5,4074.2,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00480,Western Australia,paid-social,silver,accessories,8,2,160.48,80.24,0.211,0.081,0,12,0.73,8.3,192.58,0,Emerging-shoppers,Second-purchase education sequence
C-00481,Victoria,retail-store,none,jackets,8,12,978.67,81.56,0.182,0.085,0,31,0.52,7.9,1174.4,0,Frequent-regulars,Free shipping threshold reminder
C-00482,Western Australia,search,none,hydration,19,8,674.82,84.35,0.255,0.155,3,132,0.178,3.8,884.01,0,Lapsing-customers,Win-back offer with service recovery
C-00483,Western Australia,paid-social,none,footwear,22,12,1119.31,93.28,0.14,0.084,2,32,0.553,7.8,1499.88,0,Frequent-regulars,Free shipping threshold reminder
C-00484,Queensland,paid-social,silver,footwear,29,18,2342.22,130.12,0.12,0.123,1,22,0.631,8.1,3302.53,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00485,Victoria,referral,none,packs,23,10,854.77,85.48,0.408,0.184,3,122,0.186,6.2,1153.94,0,Lapsing-customers,Win-back offer with service recovery
C-00486,New South Wales,referral,silver,jackets,12,16,1393.84,87.12,0.149,0.066,2,29,0.453,6.1,1728.36,0,Frequent-regulars,Free shipping threshold reminder
C-00487,New South Wales,search,bronze,apparel,13,3,263.3,87.77,0.22,0.08,1,18,0.578,8.5,329.13,0,Emerging-shoppers,Second-purchase education sequence
C-00488,Queensland,paid-social,none,hydration,5,4,278.82,69.71,0.168,0.127,1,15,0.765,7.2,326.22,0,Emerging-shoppers,Second-purchase education sequence
C-00489,New South Wales,paid-social,silver,recovery,15,16,2240.25,140.02,0.105,0.059,2,28,0.485,7.4,2845.12,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00490,Western Australia,retail-store,silver,jackets,32,11,1412.79,128.44,0.079,0.072,0,21,0.613,8.5,2034.42,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00491,New South Wales,retail-store,silver,footwear,29,14,1905.31,136.09,0.134,0.04,0,20,0.858,7,2686.49,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00492,Victoria,referral,none,recovery,8,4,312.16,78.04,0.163,0.058,2,23,0.65,8.4,374.59,0,Emerging-shoppers,Second-purchase education sequence
C-00493,Queensland,referral,bronze,footwear,23,12,1041.38,86.78,0.231,0.071,2,30,0.545,9.2,1405.86,0,Frequent-regulars,Free shipping threshold reminder
C-00494,New South Wales,paid-social,silver,jackets,2,4,292.17,73.04,0.237,0.059,0,22,0.733,7.4,333.07,0,Emerging-shoppers,Second-purchase education sequence
C-00495,New South Wales,search,silver,camp,27,24,3217.26,134.05,0.128,0.043,1,11,0.78,8.5,4471.99,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00496,New South Wales,retail-store,none,packs,24,12,1025.96,85.5,0.275,0.071,0,33,0.725,7.8,1395.31,0,Frequent-regulars,Free shipping threshold reminder
C-00497,Queensland,referral,gold,hydration,43,37,6015.99,162.59,0.044,0.046,0,5,0.921,9,9324.78,0,VIP-loyalists,Early access and premium bundle
C-00498,South Australia,organic,bronze,apparel,18,3,230.5,76.83,0.154,0.167,0,24,0.543,7.3,299.65,0,Emerging-shoppers,Second-purchase education sequence
C-00499,New South Wales,paid-social,silver,recovery,22,7,483.24,69.03,0.437,0.164,4,62,0.189,5.1,647.54,1,Lapsing-customers,Win-back offer with service recovery
C-00500,Tasmania,paid-social,bronze,packs,16,8,639.84,79.98,0.325,0.126,2,116,0.284,4.3,819,1,Lapsing-customers,Win-back offer with service recovery
C-00501,Queensland,paid-social,silver,recovery,2,3,211.95,70.65,0.231,0.083,2,20,0.728,8.4,241.62,0,Emerging-shoppers,Second-purchase education sequence
C-00502,Tasmania,paid-social,none,packs,31,9,777.93,86.44,0.171,0.077,0,32,0.769,7,1112.44,0,Frequent-regulars,Free shipping threshold reminder
C-00503,New South Wales,paid-social,none,hydration,27,6,420.19,70.03,0.327,0.196,2,152,0.35,6.7,584.06,1,Lapsing-customers,Win-back offer with service recovery
C-00504,Western Australia,referral,none,packs,16,9,679.1,75.46,0.293,0.185,1,215,0.127,5.7,869.25,1,Lapsing-customers,Win-back offer with service recovery
C-00505,Tasmania,referral,none,hydration,30,14,1200.36,85.74,0.308,0.07,0,22,0.657,7.4,1704.51,0,Frequent-regulars,Free shipping threshold reminder
C-00506,Victoria,search,none,hydration,11,2,135.86,67.93,0.298,0.095,2,22,0.789,8.9,167.11,0,Emerging-shoppers,Second-purchase education sequence
C-00507,New South Wales,search,bronze,jackets,10,3,216.21,72.07,0.197,0.15,4,143,0.309,5.1,263.78,1,Lapsing-customers,Win-back offer with service recovery
C-00508,Western Australia,retail-store,bronze,hydration,27,13,1019.27,78.41,0.222,0.053,2,30,0.584,7.4,1416.79,0,Frequent-regulars,Free shipping threshold reminder
C-00509,Tasmania,referral,silver,recovery,33,5,336.76,67.35,0.278,0.197,2,143,0.158,5.9,488.3,1,Lapsing-customers,Win-back offer with service recovery
C-00510,South Australia,paid-social,silver,apparel,3,4,261.91,65.48,0.266,0.048,0,20,0.602,7.7,301.2,0,Emerging-shoppers,Second-purchase education sequence
C-00511,Victoria,organic,none,accessories,3,6,466.15,77.69,0.197,0.047,0,20,0.799,8.6,536.07,0,Emerging-shoppers,Second-purchase education sequence
C-00512,Western Australia,paid-social,none,footwear,26,9,717.33,79.7,0.183,0.104,1,28,0.644,8.4,989.92,0,Frequent-regulars,Free shipping threshold reminder
C-00513,New South Wales,search,silver,hydration,4,5,408.89,81.78,0.306,0.079,1,18,0.643,7.6,474.31,1,Emerging-shoppers,Second-purchase education sequence
C-00514,South Australia,referral,silver,jackets,33,16,1993.08,124.57,0.238,0.064,2,18,0.714,8.1,2889.97,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00515,South Australia,search,none,jackets,18,6,394.82,65.8,0.375,0.167,2,108,0.204,4.8,513.27,0,Lapsing-customers,Win-back offer with service recovery
C-00516,Queensland,paid-social,silver,hydration,11,6,437.15,72.86,0.205,0.055,0,17,0.79,8.8,537.69,0,Emerging-shoppers,Second-purchase education sequence
C-00517,Tasmania,paid-social,none,recovery,15,11,898.42,81.67,0.259,0.072,0,30,0.687,8,1140.99,0,Frequent-regulars,Free shipping threshold reminder
C-00518,Tasmania,referral,silver,jackets,25,23,3150.36,136.97,0.101,0.003,0,12,0.677,8.1,4315.99,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00519,New South Wales,search,none,accessories,26,6,442.96,73.83,0.357,0.164,3,85,0.4,6.9,611.28,1,Lapsing-customers,Win-back offer with service recovery
C-00520,Queensland,search,none,accessories,10,6,517.74,86.29,0.331,0.098,1,20,0.603,7.3,631.64,0,Emerging-shoppers,Second-purchase education sequence
C-00521,South Australia,organic,silver,hydration,25,8,630.75,78.84,0.368,0.172,2,72,0.211,5.5,864.13,0,Lapsing-customers,Win-back offer with service recovery
C-00522,Victoria,referral,silver,recovery,26,18,2487.48,138.19,0.141,0.081,0,19,0.83,9.2,3432.72,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00523,New South Wales,organic,none,hydration,27,12,910.28,75.86,0.239,0.048,2,30,0.64,8.5,1265.29,0,Frequent-regulars,Free shipping threshold reminder
C-00524,Queensland,referral,none,apparel,28,6,434.13,72.36,0.377,0.203,2,92,0.145,5.3,607.78,1,Lapsing-customers,Win-back offer with service recovery
C-00525,New South Wales,organic,gold,jackets,35,21,3692.88,175.85,0,0.045,1,3,0.715,10,5428.53,0,VIP-loyalists,Early access and premium bundle
C-00526,South Australia,paid-social,silver,accessories,28,11,1340.62,121.87,0.233,0.11,1,23,0.97,8.1,1876.87,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00527,South Australia,retail-store,silver,accessories,43,36,6421.77,178.38,0.019,0,0,11,0.954,8.4,9953.74,1,VIP-loyalists,Early access and premium bundle
C-00528,New South Wales,search,bronze,footwear,24,13,1129.5,86.88,0.197,0.102,0,39,0.604,6.8,1536.12,0,Frequent-regulars,Free shipping threshold reminder
C-00529,Victoria,organic,none,packs,4,4,316.21,79.05,0.226,0.095,0,15,0.609,8,366.8,0,Emerging-shoppers,Second-purchase education sequence
C-00530,Queensland,paid-social,gold,hydration,30,10,1203.48,120.35,0.088,0.052,1,19,0.809,9,1708.94,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00531,Western Australia,organic,none,footwear,4,4,351.42,87.85,0.18,0.016,0,14,0.689,8.4,407.65,0,Emerging-shoppers,Second-purchase education sequence
C-00532,Tasmania,referral,silver,recovery,24,20,2850.7,142.53,0.14,0.083,1,19,0.667,6.5,3876.95,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00533,Queensland,retail-store,none,recovery,25,17,1378.99,81.12,0.188,0.076,1,24,0.732,7.2,1889.22,0,Frequent-regulars,Free shipping threshold reminder
C-00534,Tasmania,paid-social,silver,recovery,38,30,5020.08,167.34,0.085,0.092,1,9,0.738,8.1,7530.12,0,VIP-loyalists,Early access and premium bundle
C-00535,South Australia,retail-store,none,footwear,20,5,311.14,62.23,0.317,0.226,2,147,0.143,5.7,410.7,1,Lapsing-customers,Win-back offer with service recovery
C-00536,Victoria,retail-store,silver,accessories,39,17,2302.33,135.43,0.053,0.087,1,23,0.629,9.1,3476.52,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00537,New South Wales,retail-store,silver,recovery,16,2,185.4,92.7,0.152,0.132,0,19,0.716,8.9,237.31,0,Emerging-shoppers,Second-purchase education sequence
C-00538,Western Australia,retail-store,none,hydration,22,6,467.94,77.99,0.279,0.209,3,98,0.165,5.9,627.04,1,Lapsing-customers,Win-back offer with service recovery
C-00539,Victoria,retail-store,silver,camp,22,8,645.48,80.69,0.337,0.187,2,113,0.136,5.7,864.94,0,Lapsing-customers,Win-back offer with service recovery
C-00540,Queensland,retail-store,silver,footwear,32,8,642.93,80.37,0.28,0.144,5,136,0.236,5.5,925.82,1,Lapsing-customers,Win-back offer with service recovery
C-00541,Western Australia,retail-store,silver,recovery,25,11,994,90.36,0.245,0.137,2,23,0.54,9.1,1361.78,0,Frequent-regulars,Free shipping threshold reminder
C-00542,Victoria,referral,silver,hydration,22,18,2192.02,121.78,0.092,0.066,2,21,0.808,8.5,2937.31,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00543,Queensland,referral,bronze,packs,23,8,470.85,58.86,0.264,0.126,3,127,0.36,6.7,635.65,1,Lapsing-customers,Win-back offer with service recovery
C-00544,Tasmania,search,none,footwear,30,10,875.92,87.59,0.143,0.102,0,30,0.588,8.7,1243.81,1,Frequent-regulars,Free shipping threshold reminder
C-00545,Victoria,referral,silver,jackets,26,5,362.16,72.43,0.355,0.182,1,131,0.153,6,499.78,0,Lapsing-customers,Win-back offer with service recovery
C-00546,Tasmania,search,silver,footwear,32,19,2491.78,131.15,0.191,0.068,1,19,0.717,9.2,3588.16,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00547,Tasmania,search,bronze,recovery,2,6,487.71,81.28,0.19,0.115,1,21,0.728,8.8,555.99,0,Emerging-shoppers,Second-purchase education sequence
C-00548,Tasmania,search,none,footwear,20,14,1155.93,82.57,0.122,0.055,2,32,0.644,7.6,1525.83,0,Frequent-regulars,Free shipping threshold reminder
C-00549,Victoria,organic,none,packs,26,5,453.5,90.7,0.258,0.105,4,132,0.135,5.7,625.83,1,Lapsing-customers,Win-back offer with service recovery
C-00550,Tasmania,retail-store,none,packs,9,5,393.5,78.7,0.164,0.08,0,24,0.605,7.5,476.14,0,Emerging-shoppers,Second-purchase education sequence
C-00551,Tasmania,paid-social,none,camp,26,6,426.36,71.06,0.285,0.218,2,118,0.055,8,588.38,0,Lapsing-customers,Win-back offer with service recovery
C-00552,Tasmania,referral,silver,jackets,28,22,2924.28,132.92,0.189,0.075,3,12,0.758,8.7,4093.99,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00553,Tasmania,paid-social,gold,jackets,29,19,2687.36,141.44,0.17,0.027,0,20,0.597,7.7,3789.18,1,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00554,New South Wales,paid-social,silver,camp,30,6,402.35,67.06,0.236,0.173,1,114,0.235,5.1,571.34,1,Lapsing-customers,Win-back offer with service recovery
C-00555,New South Wales,retail-store,none,camp,22,6,497.76,82.96,0.244,0.109,2,176,0.128,5.4,667,1,Lapsing-customers,Win-back offer with service recovery
C-00556,New South Wales,search,bronze,footwear,23,12,974.41,81.2,0.088,0.072,2,11,0.575,7,1315.45,1,Frequent-regulars,Free shipping threshold reminder
C-00557,Queensland,retail-store,none,accessories,19,9,739.83,82.2,0.115,0.01,0,39,0.621,6.2,969.18,1,Frequent-regulars,Free shipping threshold reminder
C-00558,Western Australia,paid-social,none,apparel,27,4,329.24,82.31,0.41,0.197,5,109,0.277,4.6,457.64,1,Lapsing-customers,Win-back offer with service recovery
C-00559,Victoria,referral,bronze,camp,11,3,201.59,67.2,0.257,0.031,1,21,0.567,8.1,247.96,0,Emerging-shoppers,Second-purchase education sequence
C-00560,Tasmania,search,silver,footwear,23,15,1830.17,122.01,0.123,0.017,2,24,0.713,7.4,2470.73,0,High-value-loyalists,Loyalty upgrade with category cross-sell
C-00561,New South Wales,organic,none,hydration,21,7,499.15,71.31,0.37,0.175,3,162,0.233,6.5,663.87,1,Lapsing-customers,Win-back offer with service recovery
C-00562,Western Australia,retail-store,none,camp,24,11,963.32,87.57,0.172,0.057,1,36,0.394,7.9,1310.12,0,Frequent-regulars,Free shipping threshold reminder
C-00563,Western Australia,referral,none,apparel,3,5,318.78,63.76,0.294,0.109,2,18,0.647,8.3,366.6,1,Emerging-shoppers,Second-purchase education sequence
C-00564,Victoria,search,silver,hydration,21,11,922.14,83.83,0.165,0.093,2,42,0.603,6.4,1226.45,0,Frequent-regulars,Free shipping threshold reminder
